{'prompt': "You are an expert at arithmetic reasoning and are willing to solve algebraic word problems. Select the correct answer from the given options. If none of the options are correct, generate 'None of the above'.\n\nQ: {question}\nA: Let's think step by step."}
{'question_idx': 3, 'pred_final_answer': 'No answer', 'true_final_answer': 'E'}
{'question_idx': 4, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 5, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 6, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 10, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 12, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 14, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 15, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 17, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 22, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 23, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 28, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 29, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 31, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 32, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 34, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 36, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 37, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 40, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 42, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 46, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 49, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 53, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 54, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 56, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 58, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 61, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 63, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 64, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 69, 'pred_final_answer': '', 'true_final_answer': 'C'}
