{'question_idx': 1, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 3, 'pred_final_answer': 'No answer', 'true_final_answer': 'A'}
{'question_idx': 6, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 7, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 8, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 9, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 10, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 11, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 16, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 19, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 21, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 25, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 26, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 32, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 33, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 36, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 37, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 38, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 40, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 42, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 44, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 50, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 55, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 57, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 60, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 62, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 63, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 67, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 68, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 69, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 72, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 73, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 74, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 75, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 78, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 81, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 87, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 93, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 95, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 99, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 104, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 105, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 109, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 110, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 112, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 113, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 114, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 116, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 119, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 123, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 134, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 135, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 136, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 137, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 139, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 142, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 145, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 147, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 153, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 154, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 160, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 163, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 165, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 166, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 167, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 169, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 183, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 185, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 188, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 190, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 192, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 193, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 196, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 197, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 201, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 202, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 208, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 214, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 215, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 216, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 221, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 222, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 227, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 228, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 232, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 235, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 239, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 243, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 244, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 247, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 250, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 251, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 253, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
