{'question_idx': 1, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 2, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 5, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 6, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 7, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 9, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 10, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 11, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 16, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 17, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 19, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 20, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 21, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 22, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 24, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 32, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 33, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 35, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 36, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 37, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 38, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 39, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 40, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 41, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 42, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 45, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 48, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 50, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 54, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 57, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 59, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 62, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 63, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 66, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 70, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 73, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 76, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 80, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 86, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 88, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 91, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 93, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 95, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 96, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 99, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 101, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 109, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 110, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 112, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 114, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 116, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 118, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 119, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 120, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 121, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 123, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 126, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 128, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 130, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 133, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 134, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
