{'question_idx': 3, 'pred_final_answer': '9', 'true_final_answer': '25'}
{'question_idx': 4, 'pred_final_answer': '1', 'true_final_answer': '10'}
{'question_idx': 5, 'pred_final_answer': '390', 'true_final_answer': '370'}
{'question_idx': 11, 'pred_final_answer': '2', 'true_final_answer': '8'}
{'question_idx': 27, 'pred_final_answer': '100', 'true_final_answer': '50'}
{'question_idx': 37, 'pred_final_answer': '60', 'true_final_answer': '40'}
{'question_idx': 50, 'pred_final_answer': '24', 'true_final_answer': '18'}
{'question_idx': 51, 'pred_final_answer': '8', 'true_final_answer': '79'}
{'question_idx': 56, 'pred_final_answer': '53', 'true_final_answer': '21'}
{'question_idx': 58, 'pred_final_answer': '-8', 'true_final_answer': '8'}
{'question_idx': 60, 'pred_final_answer': '3', 'true_final_answer': '25'}
{'question_idx': 61, 'pred_final_answer': '30', 'true_final_answer': '3'}
{'question_idx': 62, 'pred_final_answer': '190', 'true_final_answer': '200'}
{'question_idx': 67, 'pred_final_answer': '80', 'true_final_answer': '20'}
{'question_idx': 70, 'pred_final_answer': '99', 'true_final_answer': '104'}
{'question_idx': 71, 'pred_final_answer': '135', 'true_final_answer': '45'}
{'question_idx': 84, 'pred_final_answer': '104', 'true_final_answer': '156'}
{'question_idx': 85, 'pred_final_answer': '-5', 'true_final_answer': '4'}
{'question_idx': 87, 'pred_final_answer': '430', 'true_final_answer': '3430'}
{'question_idx': 92, 'pred_final_answer': '80', 'true_final_answer': '40'}
{'question_idx': 93, 'pred_final_answer': '2180', 'true_final_answer': '2280'}
{'question_idx': 99, 'pred_final_answer': '5', 'true_final_answer': '2'}
{'question_idx': 101, 'pred_final_answer': '720', 'true_final_answer': '1200'}
{'question_idx': 103, 'pred_final_answer': '130', 'true_final_answer': '1430'}
{'question_idx': 105, 'pred_final_answer': '36', 'true_final_answer': '576'}
{'question_idx': 110, 'pred_final_answer': '18', 'true_final_answer': '14'}
{'question_idx': 113, 'pred_final_answer': '262000', 'true_final_answer': '262500'}
{'question_idx': 114, 'pred_final_answer': '50', 'true_final_answer': '40'}
{'question_idx': 121, 'pred_final_answer': '600', 'true_final_answer': '1800'}
{'question_idx': 123, 'pred_final_answer': '160', 'true_final_answer': '80'}
{'question_idx': 125, 'pred_final_answer': '125', 'true_final_answer': '100'}
{'question_idx': 135, 'pred_final_answer': '21', 'true_final_answer': '54'}
{'question_idx': 136, 'pred_final_answer': '150', 'true_final_answer': '6600'}
{'question_idx': 140, 'pred_final_answer': '36', 'true_final_answer': '16'}
{'question_idx': 148, 'pred_final_answer': '5', 'true_final_answer': '6'}
{'question_idx': 154, 'pred_final_answer': '26000', 'true_final_answer': '14000'}
{'question_idx': 157, 'pred_final_answer': '', 'true_final_answer': '3'}
{'question_idx': 162, 'pred_final_answer': '84', 'true_final_answer': '83'}
{'question_idx': 174, 'pred_final_answer': '288', 'true_final_answer': '92'}
{'question_idx': 176, 'pred_final_answer': '6', 'true_final_answer': '94'}
{'question_idx': 179, 'pred_final_answer': '6', 'true_final_answer': '8'}
{'question_idx': 183, 'pred_final_answer': '30', 'true_final_answer': '2'}
{'question_idx': 189, 'pred_final_answer': '6', 'true_final_answer': '10'}
{'question_idx': 198, 'pred_final_answer': '245', 'true_final_answer': '350'}
{'question_idx': 203, 'pred_final_answer': '40', 'true_final_answer': '25'}
{'question_idx': 204, 'pred_final_answer': '12', 'true_final_answer': '108'}
{'question_idx': 205, 'pred_final_answer': '2', 'true_final_answer': '75'}
{'question_idx': 219, 'pred_final_answer': '4', 'true_final_answer': '6'}
{'question_idx': 222, 'pred_final_answer': '19', 'true_final_answer': '1128'}
{'question_idx': 225, 'pred_final_answer': '1', 'true_final_answer': '4'}
{'question_idx': 227, 'pred_final_answer': '30', 'true_final_answer': '43200'}
{'question_idx': 232, 'pred_final_answer': '6', 'true_final_answer': '4'}
{'question_idx': 236, 'pred_final_answer': '482', 'true_final_answer': '480'}
{'question_idx': 237, 'pred_final_answer': '4', 'true_final_answer': '25'}
{'question_idx': 239, 'pred_final_answer': '11', 'true_final_answer': '25'}
{'question_idx': 243, 'pred_final_answer': '1047', 'true_final_answer': '826'}
{'question_idx': 245, 'pred_final_answer': '22', 'true_final_answer': '50'}
{'question_idx': 246, 'pred_final_answer': '800', 'true_final_answer': '500'}
{'question_idx': 254, 'pred_final_answer': '30', 'true_final_answer': '525'}
{'question_idx': 258, 'pred_final_answer': '4', 'true_final_answer': '5'}
{'question_idx': 260, 'pred_final_answer': '35', 'true_final_answer': '66'}
{'question_idx': 273, 'pred_final_answer': '16', 'true_final_answer': '24'}
{'question_idx': 284, 'pred_final_answer': '12', 'true_final_answer': '132'}
{'question_idx': 285, 'pred_final_answer': '0', 'true_final_answer': '16'}
{'question_idx': 293, 'pred_final_answer': '9801', 'true_final_answer': '7400'}
{'question_idx': 295, 'pred_final_answer': '4', 'true_final_answer': '2'}
{'question_idx': 306, 'pred_final_answer': '10', 'true_final_answer': '12'}
{'question_idx': 307, 'pred_final_answer': '6', 'true_final_answer': '4'}
{'question_idx': 312, 'pred_final_answer': '60', 'true_final_answer': '5'}
{'question_idx': 320, 'pred_final_answer': '10', 'true_final_answer': '17500'}
{'question_idx': 325, 'pred_final_answer': '2000', 'true_final_answer': '48'}
{'question_idx': 328, 'pred_final_answer': '18000', 'true_final_answer': '14000'}
{'question_idx': 331, 'pred_final_answer': '12', 'true_final_answer': '13'}
{'question_idx': 333, 'pred_final_answer': '24', 'true_final_answer': '8'}
{'question_idx': 335, 'pred_final_answer': '20', 'true_final_answer': '40'}
{'question_idx': 341, 'pred_final_answer': '400', 'true_final_answer': '398'}
{'question_idx': 343, 'pred_final_answer': '1', 'true_final_answer': '2'}
{'question_idx': 353, 'pred_final_answer': '33', 'true_final_answer': '30'}
{'question_idx': 362, 'pred_final_answer': '8', 'true_final_answer': '2'}
{'question_idx': 365, 'pred_final_answer': '33', 'true_final_answer': '21'}
{'question_idx': 374, 'pred_final_answer': '226', 'true_final_answer': '319'}
{'question_idx': 382, 'pred_final_answer': '5', 'true_final_answer': '10'}
{'question_idx': 398, 'pred_final_answer': '1850', 'true_final_answer': '2350'}
{'question_idx': 399, 'pred_final_answer': '8', 'true_final_answer': '192'}
