{'question_idx': 3, 'pred_final_answer': '9', 'true_final_answer': '25'}
{'question_idx': 10, 'pred_final_answer': '2', 'true_final_answer': '17'}
{'question_idx': 11, 'pred_final_answer': '3', 'true_final_answer': '8'}
{'question_idx': 12, 'pred_final_answer': '6', 'true_final_answer': '18'}
{'question_idx': 24, 'pred_final_answer': '400', 'true_final_answer': '50'}
{'question_idx': 25, 'pred_final_answer': '61', 'true_final_answer': '7000'}
{'question_idx': 27, 'pred_final_answer': '0', 'true_final_answer': '50'}
{'question_idx': 28, 'pred_final_answer': '40', 'true_final_answer': '11'}
{'question_idx': 31, 'pred_final_answer': '5', 'true_final_answer': '320'}
{'question_idx': 35, 'pred_final_answer': '30', 'true_final_answer': '70'}
{'question_idx': 37, 'pred_final_answer': '39', 'true_final_answer': '40'}
{'question_idx': 39, 'pred_final_answer': '2000', 'true_final_answer': '5'}
{'question_idx': 44, 'pred_final_answer': '39', 'true_final_answer': '36'}
{'question_idx': 47, 'pred_final_answer': '3', 'true_final_answer': '2'}
{'question_idx': 51, 'pred_final_answer': '92', 'true_final_answer': '79'}
{'question_idx': 56, 'pred_final_answer': '51', 'true_final_answer': '21'}
{'question_idx': 58, 'pred_final_answer': '2', 'true_final_answer': '8'}
{'question_idx': 60, 'pred_final_answer': '3', 'true_final_answer': '25'}
{'question_idx': 61, 'pred_final_answer': '30', 'true_final_answer': '3'}
{'question_idx': 65, 'pred_final_answer': '4', 'true_final_answer': '10'}
{'question_idx': 66, 'pred_final_answer': '1', 'true_final_answer': '7'}
{'question_idx': 67, 'pred_final_answer': '80', 'true_final_answer': '20'}
{'question_idx': 70, 'pred_final_answer': '3', 'true_final_answer': '104'}
{'question_idx': 71, 'pred_final_answer': '4', 'true_final_answer': '45'}
{'question_idx': 84, 'pred_final_answer': '260', 'true_final_answer': '156'}
{'question_idx': 88, 'pred_final_answer': '168', 'true_final_answer': '72'}
{'question_idx': 91, 'pred_final_answer': '16', 'true_final_answer': '64'}
{'question_idx': 92, 'pred_final_answer': '80', 'true_final_answer': '40'}
{'question_idx': 93, 'pred_final_answer': '2180', 'true_final_answer': '2280'}
{'question_idx': 97, 'pred_final_answer': '20', 'true_final_answer': '35'}
{'question_idx': 99, 'pred_final_answer': '1', 'true_final_answer': '2'}
{'question_idx': 101, 'pred_final_answer': '51680', 'true_final_answer': '1200'}
{'question_idx': 105, 'pred_final_answer': '36', 'true_final_answer': '576'}
{'question_idx': 108, 'pred_final_answer': '5', 'true_final_answer': '6'}
{'question_idx': 109, 'pred_final_answer': '12', 'true_final_answer': '16'}
{'question_idx': 113, 'pred_final_answer': '372000', 'true_final_answer': '262500'}
{'question_idx': 114, 'pred_final_answer': '55', 'true_final_answer': '40'}
{'question_idx': 115, 'pred_final_answer': '70', 'true_final_answer': '120'}
{'question_idx': 116, 'pred_final_answer': '30', 'true_final_answer': '15'}
{'question_idx': 118, 'pred_final_answer': '7', 'true_final_answer': '1260'}
{'question_idx': 121, 'pred_final_answer': '2100', 'true_final_answer': '1800'}
{'question_idx': 124, 'pred_final_answer': '60', 'true_final_answer': '20'}
{'question_idx': 125, 'pred_final_answer': '60', 'true_final_answer': '100'}
{'question_idx': 130, 'pred_final_answer': '3', 'true_final_answer': '360'}
{'question_idx': 135, 'pred_final_answer': '45', 'true_final_answer': '54'}
{'question_idx': 136, 'pred_final_answer': '600', 'true_final_answer': '6600'}
{'question_idx': 140, 'pred_final_answer': '36', 'true_final_answer': '16'}
{'question_idx': 148, 'pred_final_answer': '30', 'true_final_answer': '6'}
{'question_idx': 150, 'pred_final_answer': '4', 'true_final_answer': '16'}
{'question_idx': 151, 'pred_final_answer': '91', 'true_final_answer': '20'}
{'question_idx': 154, 'pred_final_answer': '18000', 'true_final_answer': '14000'}
{'question_idx': 158, 'pred_final_answer': '3', 'true_final_answer': '360'}
{'question_idx': 161, 'pred_final_answer': '17', 'true_final_answer': '5'}
{'question_idx': 162, 'pred_final_answer': '84', 'true_final_answer': '83'}
{'question_idx': 163, 'pred_final_answer': '22', 'true_final_answer': '30'}
{'question_idx': 165, 'pred_final_answer': '3', 'true_final_answer': '1'}
{'question_idx': 171, 'pred_final_answer': '15', 'true_final_answer': '3'}
{'question_idx': 173, 'pred_final_answer': '2', 'true_final_answer': '100'}
{'question_idx': 174, 'pred_final_answer': '36', 'true_final_answer': '92'}
{'question_idx': 176, 'pred_final_answer': '28', 'true_final_answer': '94'}
{'question_idx': 177, 'pred_final_answer': '7', 'true_final_answer': '50'}
{'question_idx': 179, 'pred_final_answer': '28', 'true_final_answer': '8'}
{'question_idx': 180, 'pred_final_answer': '4750', 'true_final_answer': '5'}
{'question_idx': 186, 'pred_final_answer': '2', 'true_final_answer': '35'}
{'question_idx': 189, 'pred_final_answer': '6', 'true_final_answer': '10'}
{'question_idx': 191, 'pred_final_answer': '4', 'true_final_answer': '2'}
{'question_idx': 194, 'pred_final_answer': '16', 'true_final_answer': '64'}
{'question_idx': 198, 'pred_final_answer': '245', 'true_final_answer': '350'}
{'question_idx': 199, 'pred_final_answer': '2', 'true_final_answer': '14'}
{'question_idx': 201, 'pred_final_answer': '30', 'true_final_answer': '20'}
{'question_idx': 203, 'pred_final_answer': '35', 'true_final_answer': '25'}
{'question_idx': 204, 'pred_final_answer': '12', 'true_final_answer': '108'}
{'question_idx': 208, 'pred_final_answer': '200000', 'true_final_answer': '140000'}
{'question_idx': 218, 'pred_final_answer': '90', 'true_final_answer': '180'}
