{'prompt': "You are an expert at arithmetic reasoning and are willing to solve grade school math problems.\n\nQ: {question}\nA: Let's think step by step."}
{'question_idx': 0, 'pred_final_answer': '2319', 'true_final_answer': '2317'}
{'question_idx': 6, 'pred_final_answer': '21', 'true_final_answer': '30'}
{'question_idx': 7, 'pred_final_answer': '29', 'true_final_answer': '15'}
{'question_idx': 8, 'pred_final_answer': '57', 'true_final_answer': '22'}
{'question_idx': 12, 'pred_final_answer': '56', 'true_final_answer': '26'}
{'question_idx': 14, 'pred_final_answer': '390', 'true_final_answer': '10'}
{'question_idx': 19, 'pred_final_answer': '70', 'true_final_answer': '130'}
{'question_idx': 26, 'pred_final_answer': '3', 'true_final_answer': '42'}
{'question_idx': 33, 'pred_final_answer': '129', 'true_final_answer': '258'}
{'question_idx': 37, 'pred_final_answer': '5', 'true_final_answer': '35'}
{'question_idx': 44, 'pred_final_answer': '12', 'true_final_answer': '3'}
{'question_idx': 46, 'pred_final_answer': '33', 'true_final_answer': '22'}
{'question_idx': 47, 'pred_final_answer': '5', 'true_final_answer': '700'}
{'question_idx': 49, 'pred_final_answer': '44', 'true_final_answer': '53'}
{'question_idx': 53, 'pred_final_answer': '2', 'true_final_answer': '60'}
{'question_idx': 65, 'pred_final_answer': '8', 'true_final_answer': '14'}
{'question_idx': 67, 'pred_final_answer': '600', 'true_final_answer': '10'}
{'question_idx': 75, 'pred_final_answer': '3600', 'true_final_answer': '900'}
{'question_idx': 77, 'pred_final_answer': '60', 'true_final_answer': '16'}
{'question_idx': 78, 'pred_final_answer': '4', 'true_final_answer': '240'}
{'question_idx': 83, 'pred_final_answer': '18', 'true_final_answer': '17'}
{'question_idx': 88, 'pred_final_answer': '28', 'true_final_answer': '1568'}
{'question_idx': 96, 'pred_final_answer': '105', 'true_final_answer': '120'}
{'question_idx': 97, 'pred_final_answer': '8896', 'true_final_answer': '8900'}
{'question_idx': 103, 'pred_final_answer': '120', 'true_final_answer': '90'}
{'question_idx': 105, 'pred_final_answer': '4', 'true_final_answer': '15'}
{'question_idx': 112, 'pred_final_answer': '1400', 'true_final_answer': '500'}
{'question_idx': 113, 'pred_final_answer': '22', 'true_final_answer': '19'}
{'question_idx': 121, 'pred_final_answer': '150', 'true_final_answer': '450'}
{'question_idx': 131, 'pred_final_answer': '20', 'true_final_answer': '5'}
{'question_idx': 140, 'pred_final_answer': '20', 'true_final_answer': '10'}
{'question_idx': 143, 'pred_final_answer': '1', 'true_final_answer': '20'}
{'question_idx': 152, 'pred_final_answer': '60', 'true_final_answer': '3600'}
{'question_idx': 163, 'pred_final_answer': '1', 'true_final_answer': '13'}
{'question_idx': 165, 'pred_final_answer': '24', 'true_final_answer': '60'}
{'question_idx': 167, 'pred_final_answer': '4', 'true_final_answer': '54'}
{'question_idx': 170, 'pred_final_answer': '121', 'true_final_answer': '142'}
{'question_idx': 175, 'pred_final_answer': '-24', 'true_final_answer': '24'}
{'question_idx': 181, 'pred_final_answer': '4', 'true_final_answer': '730'}
{'question_idx': 187, 'pred_final_answer': '3', 'true_final_answer': '14'}
{'question_idx': 189, 'pred_final_answer': '6', 'true_final_answer': '15'}
{'question_idx': 191, 'pred_final_answer': '144', 'true_final_answer': '30'}
{'question_idx': 194, 'pred_final_answer': '2000', 'true_final_answer': '2500'}
{'question_idx': 198, 'pred_final_answer': '24', 'true_final_answer': '36'}
{'question_idx': 205, 'pred_final_answer': '200', 'true_final_answer': '800'}
