{'prompt': "You are an expert at arithmetic reasoning and are willing to solve algebraic word problems. Select the correct answer from the given options. If none of the options are correct, generate 'None of the above'.\n\nQ: {question}\nA: Let's think step by step."}
{'question_idx': 3, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 5, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 6, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 7, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 9, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 10, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 11, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 16, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 19, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 21, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 26, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 33, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 36, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 37, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 40, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 44, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 50, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 53, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 62, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 67, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 70, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 72, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 75, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 77, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 89, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 95, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 96, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 100, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 102, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 110, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 112, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 114, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 116, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 118, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 119, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 121, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 126, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 128, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 134, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 135, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 136, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 139, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 144, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 145, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 146, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 147, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 159, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 169, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 176, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 178, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 182, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 188, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 190, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 192, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 193, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 198, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 199, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 201, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 202, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 204, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 205, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 206, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 208, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 210, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 214, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 217, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 222, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 223, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 224, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 225, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 227, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 231, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 234, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 236, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 239, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 243, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 244, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 247, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 248, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
