{'prompt': "You are an expert at arithmetic reasoning and are willing to solve grade school math problems.\n\nQ: {question}\nA: Let's think step by step."}
{'question_idx': 26, 'pred_final_answer': '96', 'true_final_answer': '576'}
{'question_idx': 27, 'pred_final_answer': '150', 'true_final_answer': '50'}
{'question_idx': 37, 'pred_final_answer': '38', 'true_final_answer': '40'}
{'question_idx': 39, 'pred_final_answer': '2000', 'true_final_answer': '5'}
{'question_idx': 56, 'pred_final_answer': '16', 'true_final_answer': '21'}
{'question_idx': 58, 'pred_final_answer': '32', 'true_final_answer': '8'}
{'question_idx': 60, 'pred_final_answer': '3', 'true_final_answer': '25'}
{'question_idx': 66, 'pred_final_answer': '4', 'true_final_answer': '7'}
{'question_idx': 70, 'pred_final_answer': '3', 'true_final_answer': '104'}
{'question_idx': 71, 'pred_final_answer': '4', 'true_final_answer': '45'}
{'question_idx': 74, 'pred_final_answer': '6', 'true_final_answer': '2000'}
{'question_idx': 87, 'pred_final_answer': '490', 'true_final_answer': '3430'}
{'question_idx': 93, 'pred_final_answer': '2180', 'true_final_answer': '2280'}
{'question_idx': 99, 'pred_final_answer': '9', 'true_final_answer': '2'}
{'question_idx': 107, 'pred_final_answer': '2160', 'true_final_answer': '1080'}
{'question_idx': 113, 'pred_final_answer': '262000', 'true_final_answer': '262500'}
{'question_idx': 116, 'pred_final_answer': '30', 'true_final_answer': '15'}
{'question_idx': 124, 'pred_final_answer': '60', 'true_final_answer': '20'}
{'question_idx': 135, 'pred_final_answer': '27', 'true_final_answer': '54'}
{'question_idx': 142, 'pred_final_answer': '104', 'true_final_answer': '147'}
{'question_idx': 144, 'pred_final_answer': '20', 'true_final_answer': '2'}
{'question_idx': 150, 'pred_final_answer': '4', 'true_final_answer': '16'}
{'question_idx': 176, 'pred_final_answer': '28', 'true_final_answer': '94'}
{'question_idx': 177, 'pred_final_answer': '7', 'true_final_answer': '50'}
{'question_idx': 189, 'pred_final_answer': '6', 'true_final_answer': '10'}
{'question_idx': 194, 'pred_final_answer': '16', 'true_final_answer': '64'}
{'question_idx': 225, 'pred_final_answer': '3', 'true_final_answer': '4'}
{'question_idx': 246, 'pred_final_answer': '350', 'true_final_answer': '500'}
{'question_idx': 267, 'pred_final_answer': '36', 'true_final_answer': '48'}
