{'question_idx': 1, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 2, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 5, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 6, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 7, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 10, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 11, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 15, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 16, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 17, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 21, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 25, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 32, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 33, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 36, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 37, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 40, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 44, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 49, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 53, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 54, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 58, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 62, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 64, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 65, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 66, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 67, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 69, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 71, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 73, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 76, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 87, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 89, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 91, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 93, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 95, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 96, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 98, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 99, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 109, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 110, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 111, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 114, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 118, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 119, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 123, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 126, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 134, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 135, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 136, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 138, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 139, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 142, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 147, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 148, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 156, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 159, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 161, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 162, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 164, 'pred_final_answer': 'No answer', 'true_final_answer': 'B'}
{'question_idx': 165, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 167, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 169, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 173, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 176, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 183, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 184, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 185, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 188, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 192, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 193, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 195, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 197, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 198, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 201, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 202, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 204, 'pred_final_answer': 'No answer', 'true_final_answer': 'A'}
{'question_idx': 205, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 206, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 207, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 208, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 214, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 215, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 216, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 217, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 221, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 222, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 225, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 227, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 228, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 234, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 235, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 236, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 239, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 240, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 242, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 243, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 248, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 251, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 252, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 253, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
