{'question_idx': 2, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 5, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 6, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 7, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 9, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 10, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 11, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 15, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 16, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 17, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 19, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 21, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 26, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 32, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 33, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 35, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 36, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 37, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 38, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 39, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 40, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 45, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 48, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 49, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 50, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 54, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 62, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 63, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 64, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 65, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 66, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 69, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 70, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 71, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 72, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 73, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 76, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 81, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 86, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 91, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 93, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 94, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 95, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 96, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 99, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 109, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 110, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 113, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 114, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 119, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 121, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 123, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 125, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 126, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 128, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 130, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 134, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 135, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 137, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 142, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 144, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 145, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 147, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 150, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 153, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 156, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 157, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 161, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 162, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 163, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 164, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 166, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 167, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 168, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 174, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 176, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 183, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 184, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 185, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 190, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 193, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 197, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 201, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 202, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 204, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 206, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 207, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 208, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 214, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 215, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 216, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 217, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 221, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 222, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 223, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 224, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 225, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 226, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 227, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 228, 'pred_final_answer': 'No answer', 'true_final_answer': 'B'}
{'question_idx': 230, 'pred_final_answer': 'No answer', 'true_final_answer': 'E'}
{'question_idx': 231, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 232, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 233, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 234, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 235, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 236, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 239, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 242, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
