{'question_idx': 2, 'pred_final_answer': '3', 'true_final_answer': '4'}
{'question_idx': 3, 'pred_final_answer': '35', 'true_final_answer': '25'}
{'question_idx': 10, 'pred_final_answer': '2', 'true_final_answer': '17'}
{'question_idx': 11, 'pred_final_answer': '3', 'true_final_answer': '8'}
{'question_idx': 25, 'pred_final_answer': '180', 'true_final_answer': '7000'}
{'question_idx': 27, 'pred_final_answer': '100', 'true_final_answer': '50'}
{'question_idx': 37, 'pred_final_answer': '38', 'true_final_answer': '40'}
{'question_idx': 47, 'pred_final_answer': '8', 'true_final_answer': '2'}
{'question_idx': 50, 'pred_final_answer': '24', 'true_final_answer': '18'}
{'question_idx': 56, 'pred_final_answer': '53', 'true_final_answer': '21'}
{'question_idx': 60, 'pred_final_answer': '8', 'true_final_answer': '25'}
{'question_idx': 61, 'pred_final_answer': '-4', 'true_final_answer': '3'}
{'question_idx': 63, 'pred_final_answer': '9', 'true_final_answer': '1'}
{'question_idx': 67, 'pred_final_answer': '80', 'true_final_answer': '20'}
{'question_idx': 71, 'pred_final_answer': '315', 'true_final_answer': '45'}
{'question_idx': 72, 'pred_final_answer': '42', 'true_final_answer': '7'}
{'question_idx': 73, 'pred_final_answer': '1', 'true_final_answer': '4'}
{'question_idx': 87, 'pred_final_answer': '360', 'true_final_answer': '3430'}
{'question_idx': 91, 'pred_final_answer': '32', 'true_final_answer': '64'}
{'question_idx': 93, 'pred_final_answer': '2180', 'true_final_answer': '2280'}
{'question_idx': 97, 'pred_final_answer': '20', 'true_final_answer': '35'}
{'question_idx': 101, 'pred_final_answer': '80', 'true_final_answer': '1200'}
{'question_idx': 113, 'pred_final_answer': '262000', 'true_final_answer': '262500'}
{'question_idx': 125, 'pred_final_answer': '71', 'true_final_answer': '100'}
{'question_idx': 135, 'pred_final_answer': '27', 'true_final_answer': '54'}
{'question_idx': 136, 'pred_final_answer': '2200', 'true_final_answer': '6600'}
{'question_idx': 140, 'pred_final_answer': '36', 'true_final_answer': '16'}
{'question_idx': 148, 'pred_final_answer': '30', 'true_final_answer': '6'}
