{'question_idx': 3, 'pred_final_answer': '9', 'true_final_answer': '25'}
{'question_idx': 7, 'pred_final_answer': '26', 'true_final_answer': '30'}
{'question_idx': 11, 'pred_final_answer': '3', 'true_final_answer': '8'}
{'question_idx': 12, 'pred_final_answer': '6', 'true_final_answer': '18'}
{'question_idx': 24, 'pred_final_answer': '400', 'true_final_answer': '50'}
{'question_idx': 25, 'pred_final_answer': '11', 'true_final_answer': '7000'}
{'question_idx': 27, 'pred_final_answer': '0', 'true_final_answer': '50'}
{'question_idx': 28, 'pred_final_answer': '1', 'true_final_answer': '11'}
{'question_idx': 31, 'pred_final_answer': '5', 'true_final_answer': '320'}
{'question_idx': 35, 'pred_final_answer': '30', 'true_final_answer': '70'}
{'question_idx': 37, 'pred_final_answer': '39', 'true_final_answer': '40'}
{'question_idx': 39, 'pred_final_answer': '2000', 'true_final_answer': '5'}
{'question_idx': 47, 'pred_final_answer': '3', 'true_final_answer': '2'}
{'question_idx': 49, 'pred_final_answer': '32', 'true_final_answer': '44'}
{'question_idx': 50, 'pred_final_answer': '48', 'true_final_answer': '18'}
{'question_idx': 51, 'pred_final_answer': '4', 'true_final_answer': '79'}
{'question_idx': 52, 'pred_final_answer': '52', 'true_final_answer': '54'}
{'question_idx': 56, 'pred_final_answer': '53', 'true_final_answer': '21'}
{'question_idx': 60, 'pred_final_answer': '3', 'true_final_answer': '25'}
{'question_idx': 61, 'pred_final_answer': '30', 'true_final_answer': '3'}
{'question_idx': 66, 'pred_final_answer': '4', 'true_final_answer': '7'}
{'question_idx': 67, 'pred_final_answer': '80', 'true_final_answer': '20'}
{'question_idx': 68, 'pred_final_answer': '8', 'true_final_answer': '15'}
{'question_idx': 70, 'pred_final_answer': '3', 'true_final_answer': '104'}
{'question_idx': 71, 'pred_final_answer': '4', 'true_final_answer': '45'}
{'question_idx': 82, 'pred_final_answer': '11', 'true_final_answer': '250'}
{'question_idx': 84, 'pred_final_answer': '260', 'true_final_answer': '156'}
{'question_idx': 85, 'pred_final_answer': '-5', 'true_final_answer': '4'}
{'question_idx': 87, 'pred_final_answer': '360', 'true_final_answer': '3430'}
{'question_idx': 93, 'pred_final_answer': '1880', 'true_final_answer': '2280'}
{'question_idx': 97, 'pred_final_answer': '30', 'true_final_answer': '35'}
