{'question_idx': 1, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 5, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 6, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 7, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 9, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 11, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 13, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 16, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 19, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 21, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 22, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 24, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 25, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 28, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 32, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 35, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 36, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 37, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 38, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 40, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 42, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 44, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 48, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 50, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 55, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 60, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 62, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 64, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 66, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 67, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 69, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 70, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 74, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 75, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 76, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 77, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 78, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 83, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 85, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 88, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 89, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 91, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 93, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 95, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 96, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 99, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 100, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 103, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 109, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 110, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 112, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 113, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 114, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 116, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 118, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 119, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 121, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 123, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 126, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 134, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 135, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 136, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 137, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 139, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 142, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 144, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 146, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 147, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 152, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 153, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 156, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 157, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 159, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 160, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 161, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 164, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 165, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 166, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 167, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 168, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 176, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 178, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 181, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 182, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 183, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 185, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 188, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 190, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 192, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 193, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 197, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 198, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 199, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 201, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 202, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 204, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 208, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 211, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 214, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 215, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 216, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 217, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 221, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 222, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 223, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 224, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 225, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 226, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
