{'question_idx': 3, 'pred_final_answer': '9', 'true_final_answer': '25'}
{'question_idx': 4, 'pred_final_answer': '7', 'true_final_answer': '10'}
{'question_idx': 11, 'pred_final_answer': '14', 'true_final_answer': '8'}
{'question_idx': 14, 'pred_final_answer': '40', 'true_final_answer': '58'}
{'question_idx': 50, 'pred_final_answer': '60', 'true_final_answer': '18'}
{'question_idx': 51, 'pred_final_answer': '4', 'true_final_answer': '79'}
{'question_idx': 52, 'pred_final_answer': '56', 'true_final_answer': '54'}
{'question_idx': 56, 'pred_final_answer': '48', 'true_final_answer': '21'}
{'question_idx': 58, 'pred_final_answer': '4', 'true_final_answer': '8'}
{'question_idx': 60, 'pred_final_answer': '3', 'true_final_answer': '25'}
{'question_idx': 64, 'pred_final_answer': '135', 'true_final_answer': '147'}
{'question_idx': 67, 'pred_final_answer': '80', 'true_final_answer': '20'}
{'question_idx': 70, 'pred_final_answer': '3', 'true_final_answer': '104'}
{'question_idx': 71, 'pred_final_answer': '315', 'true_final_answer': '45'}
{'question_idx': 73, 'pred_final_answer': '1', 'true_final_answer': '4'}
{'question_idx': 85, 'pred_final_answer': '0', 'true_final_answer': '4'}
{'question_idx': 87, 'pred_final_answer': '360', 'true_final_answer': '3430'}
{'question_idx': 91, 'pred_final_answer': '16', 'true_final_answer': '64'}
{'question_idx': 92, 'pred_final_answer': '80', 'true_final_answer': '40'}
{'question_idx': 93, 'pred_final_answer': '2180', 'true_final_answer': '2280'}
{'question_idx': 97, 'pred_final_answer': '30', 'true_final_answer': '35'}
{'question_idx': 99, 'pred_final_answer': '5', 'true_final_answer': '2'}
{'question_idx': 101, 'pred_final_answer': '80', 'true_final_answer': '1200'}
{'question_idx': 113, 'pred_final_answer': '372000', 'true_final_answer': '262500'}
{'question_idx': 125, 'pred_final_answer': '140', 'true_final_answer': '100'}
{'question_idx': 135, 'pred_final_answer': '45', 'true_final_answer': '54'}
{'question_idx': 136, 'pred_final_answer': '5400', 'true_final_answer': '6600'}
{'question_idx': 145, 'pred_final_answer': '24', 'true_final_answer': '34'}
{'question_idx': 148, 'pred_final_answer': '5', 'true_final_answer': '6'}
{'question_idx': 150, 'pred_final_answer': '8', 'true_final_answer': '16'}
{'question_idx': 151, 'pred_final_answer': '8', 'true_final_answer': '20'}
{'question_idx': 154, 'pred_final_answer': '18000', 'true_final_answer': '14000'}
{'question_idx': 171, 'pred_final_answer': '6', 'true_final_answer': '3'}
{'question_idx': 174, 'pred_final_answer': '20', 'true_final_answer': '92'}
{'question_idx': 176, 'pred_final_answer': '100', 'true_final_answer': '94'}
{'question_idx': 179, 'pred_final_answer': '2', 'true_final_answer': '8'}
{'question_idx': 183, 'pred_final_answer': '30', 'true_final_answer': '2'}
{'question_idx': 186, 'pred_final_answer': '40', 'true_final_answer': '35'}
{'question_idx': 189, 'pred_final_answer': '6', 'true_final_answer': '10'}
{'question_idx': 191, 'pred_final_answer': '-14', 'true_final_answer': '2'}
{'question_idx': 195, 'pred_final_answer': '38', 'true_final_answer': '25'}
{'question_idx': 218, 'pred_final_answer': '3', 'true_final_answer': '180'}
{'question_idx': 220, 'pred_final_answer': '8', 'true_final_answer': '50'}
{'question_idx': 225, 'pred_final_answer': '7', 'true_final_answer': '4'}
{'question_idx': 232, 'pred_final_answer': '2', 'true_final_answer': '4'}
{'question_idx': 237, 'pred_final_answer': '6', 'true_final_answer': '25'}
{'question_idx': 243, 'pred_final_answer': '1047', 'true_final_answer': '826'}
{'question_idx': 246, 'pred_final_answer': '1100', 'true_final_answer': '500'}
{'question_idx': 248, 'pred_final_answer': '150', 'true_final_answer': '310'}
{'question_idx': 255, 'pred_final_answer': '29', 'true_final_answer': '13'}
{'question_idx': 258, 'pred_final_answer': '12', 'true_final_answer': '5'}
{'question_idx': 260, 'pred_final_answer': '139', 'true_final_answer': '66'}
{'question_idx': 264, 'pred_final_answer': '156', 'true_final_answer': '36'}
{'question_idx': 267, 'pred_final_answer': '6', 'true_final_answer': '48'}
{'question_idx': 268, 'pred_final_answer': '22', 'true_final_answer': '19'}
{'question_idx': 275, 'pred_final_answer': '100', 'true_final_answer': '175'}
{'question_idx': 285, 'pred_final_answer': '24', 'true_final_answer': '16'}
{'question_idx': 293, 'pred_final_answer': '9867', 'true_final_answer': '7400'}
{'question_idx': 302, 'pred_final_answer': '120000', 'true_final_answer': '90000'}
{'question_idx': 312, 'pred_final_answer': '45', 'true_final_answer': '5'}
{'question_idx': 320, 'pred_final_answer': '75000', 'true_final_answer': '17500'}
{'question_idx': 325, 'pred_final_answer': '1800', 'true_final_answer': '48'}
