{'question_idx': 6, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 7, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 8, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 9, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 10, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 11, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 14, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 16, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 19, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 21, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 24, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 26, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 32, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 35, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 36, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 37, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 40, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 41, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 42, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 44, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 49, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 50, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 55, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 57, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 62, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 64, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 65, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 66, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 69, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 71, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 72, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 74, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 75, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 77, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 83, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 85, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 86, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 88, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 89, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 93, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 94, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 95, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 96, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 99, 'pred_final_answer': 'No answer', 'true_final_answer': 'D'}
{'question_idx': 109, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
